description,business_tags,sector,category,niche,candidate_labels,candidate_sim_scores,zero_shot_scores,final_labels
"The Bingsu Hub is an ice cream shop located in Bang Khen, Bangkok, Thailand.","['In-store Pickup', 'Takeout Services', 'Dine-in Options', 'Ice Cream and Frozen Dessert Manufacturing']",Manufacturing,Ice Cream,Ice Cream and Frozen Dessert Manufacturing,"['Coffee Processing Services', 'Business Development Services', 'Confectionery Manufacturing', 'Marketing Services', 'Online Marketing Services', 'Seafood Processing Services', 'Ice Production Services', 'Catering Services', 'Market Research Services', 'Food Processing Services']","[0.33051908, 0.32980886, 0.32668447, 0.32581723, 0.3114734, 0.30492282, 0.29796803, 0.2969513, 0.29479042, 0.29116458]","{'Coffee Processing Services': 0.00010200102406088263, 'Business Development Services': 0.002605052199214697, 'Confectionery Manufacturing': 0.00012463974417187274, 'Marketing Services': 0.001511336537078023, 'Online Marketing Services': 0.0007416217704303563, 'Seafood Processing Services': 8.275380241684616e-05, 'Ice Production Services': 0.029217541217803955, 'Catering Services': 0.002155446680262685, 'Market Research Services': 0.0007709969067946076, 'Food Processing Services': 0.001062665949575603}",[]
The company specializes in the professional installation of home safety devices and detectors.,[],Services,"Alarms, Surveillance & Security Systems",Security Guards and Patrol Services,"['Fire Safety Equipment Services', 'Alarm Installation Services', 'Fire Protection System Services', 'Health and Safety Consulting', 'Insurance Services', 'Compliance Services', 'Property Management Services', 'Testing and Inspection Services', 'General Handyman Services', 'Fencing Construction Services']","[0.61633235, 0.6060777, 0.5822986, 0.54194283, 0.5213796, 0.5204409, 0.5188619, 0.51379883, 0.51327986, 0.50755847]","{'Fire Safety Equipment Services': 0.3515963554382324, 'Alarm Installation Services': 0.9421648979187012, 'Fire Protection System Services': 0.10501102358102798, 'Health and Safety Consulting': 0.0010841689072549343, 'Insurance Services': 0.0006588826072402298, 'Compliance Services': 0.008539360016584396, 'Property Management Services': 0.002960525220260024, 'Testing and Inspection Services': 0.0017489250749349594, 'General Handyman Services': 0.00047449831617996097, 'Fencing Construction Services': 0.001968880882486701}","['Fire Safety Equipment Services', 'Alarm Installation Services']"
"Grupo Rimag is a company consisting of three pillars: Rimag Importaciones S.A, Dimo de Alajuela SA, and Richo import-export SA. They specialize in selling quality products and maintaining long-term partnerships with suppliers and customers. With extensive knowledge of the market, they offer competitive value propositions and professionalize their sales force. The company is known for its excellent customer service and commitment to customer satisfaction. Black & Decker, a subsidiary of Grupo Rimlag, is a leading producer of home appliances, including ironing boards, oven toasters, portable mixers, coffee makers, and hair dryers. Remington, another subsidiary, introduced the first electric shaver in 1937 and continues to innovate with unique products.","['Importing and Distributing', 'Continental Appliances', 'Small Appliances Distribution', 'Black & Decker Appliances', 'Hamilton Beach Small Appliences', 'Precision Trading Corp. Small Appliques']",Wholesale,Appliance Stores,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers","['Commercial Electrical Services', 'Residential Electrical Services', 'General Handyman Services', 'Agricultural Equipment Services', 'Pet Grooming Services', 'Accessory Manufacturing', 'Sheet Metal Services', 'Trim Manufacturing', 'Welding Services', 'Furniture Manufacturing']","[0.37371084, 0.349866, 0.34438583, 0.33942303, 0.33846256, 0.3292306, 0.32271475, 0.32198772, 0.29758468, 0.28175244]","{'Commercial Electrical Services': 0.016988802701234818, 'Residential Electrical Services': 0.08847533911466599, 'General Handyman Services': 0.006156894378364086, 'Agricultural Equipment Services': 0.005347146186977625, 'Pet Grooming Services': 0.016270915046334267, 'Accessory Manufacturing': 0.09582855552434921, 'Sheet Metal Services': 0.006381683051586151, 'Trim Manufacturing': 0.021597854793071747, 'Welding Services': 0.006452272646129131, 'Furniture Manufacturing': 0.003948846831917763}",[]
"Francesco Perrotta Edilizia is a construction company based in Cervino, Cervo, Italy. The company was founded by Francesco Perrottta, who has a strong focus on professionalism and technological innovation. They specialize in the construction of residential, commercial, and industrial buildings, and are known for their high-quality workmanship and attention to detail. The team at Francesco perrotta edilizi has extensive experience in the field, having worked on various projects in Italy and abroad. They offer a wide range of services, including the construction and renovation of residential and commercial buildings, as well as the construction, renovation, and modernization of public and private buildings. The owner, Francesco, has a passion for construction and has been involved in the industry for many years.","['Construction Project Management', 'Construction Services', 'Construction Materials Supplier', 'Professionalism in Construction', 'Technological Innovation Services for Construction Industry']",Services,Construction Services,Industrial Building Construction,"['Commercial Construction Services', 'Masonry Construction Services', 'Commercial Renovation Services', 'Sidewalk Construction Services', 'Residential Roofing Services', 'Carpentry Services', 'Multi-Family Construction Services', 'Single Family Residential Construction', 'Apartment Renovation Services', 'Mobile Home Construction Services']","[0.44028807, 0.41979584, 0.399314, 0.37388328, 0.35831225, 0.3551376, 0.35362238, 0.34214973, 0.33644712, 0.3342124]","{'Commercial Construction Services': 0.5069114565849304, 'Masonry Construction Services': 0.16840042173862457, 'Commercial Renovation Services': 0.40767624974250793, 'Sidewalk Construction Services': 0.07191900908946991, 'Residential Roofing Services': 0.09335438162088394, 'Carpentry Services': 0.062168486416339874, 'Multi-Family Construction Services': 0.30148857831954956, 'Single Family Residential Construction': 0.03199777379631996, 'Apartment Renovation Services': 0.21562042832374573, 'Mobile Home Construction Services': 0.03464221581816673}","['Commercial Construction Services', 'Commercial Renovation Services', 'Multi-Family Construction Services']"
"Dr. med. dent. Seibert-Schmidt is a dentist based in Gemeinde Thiersee, Tyrol, Austria.","['Healthcare Services', 'Dental Service']",Services,Dentists & Dental Clinics,Offices of Dentists,"['Excavation Services', 'Consulting Services', 'Carpentry Services', 'Road Maintenance Services', 'Ice Production Services', 'Directional Drilling Services', 'Health and Safety Consulting', 'Legal Services', 'General Snow Removal Services', 'Land Leveling Services']","[0.23328614, 0.2003716, 0.18689409, 0.18487151, 0.18385434, 0.1834766, 0.17659616, 0.17447259, 0.17093426, 0.17018631]","{'Excavation Services': 0.00048790781875140965, 'Consulting Services': 0.006324357353150845, 'Carpentry Services': 0.0003968512173742056, 'Road Maintenance Services': 0.0003695713821798563, 'Ice Production Services': 0.0026941532269120216, 'Directional Drilling Services': 0.006540886592119932, 'Health and Safety Consulting': 0.003162963315844536, 'Legal Services': 0.00046977284364402294, 'General Snow Removal Services': 0.000502925249747932, 'Land Leveling Services': 0.0013168054865673184}",[]
"Mountain Toy Sales is a company that specializes in wholesale toy accounts and provides experienced advice to its clients. The company was founded by a couple who owned and operated a toy store in Bozeman, MT for ten years and has been a sales representative with DanSon Sales for eight years.","['Sales Representative', 'Online Purchasing', 'Wholesale Toy Accounts', 'Retail', 'Vendor Catalogs', 'Wholesale Accounts']",Wholesale,Toys & Games Stores,Toy and Hobby Goods and Supplies Merchant Wholesalers,"['Livestock Dealer Services', 'Carpet Manufacturing Services', 'Marketing Services', 'Tent Manufacturing Services', 'Rope Production Services', 'Online Marketing Services', 'General Snow Removal Services', 'Mobile Home Construction Services', 'Furniture Manufacturing', 'Commercial Snow Removal']","[0.4098081, 0.39076453, 0.35456705, 0.34708118, 0.334571, 0.33309323, 0.32913032, 0.32544225, 0.32112592, 0.30882955]","{'Livestock Dealer Services': 0.0015240148641169071, 'Carpet Manufacturing Services': 0.0008550781640224159, 'Marketing Services': 0.052693966776132584, 'Tent Manufacturing Services': 0.021408041939139366, 'Rope Production Services': 0.009297159500420094, 'Online Marketing Services': 0.05423516035079956, 'General Snow Removal Services': 0.0014823289820924401, 'Mobile Home Construction Services': 0.004609247203916311, 'Furniture Manufacturing': 0.0009391038329340518, 'Commercial Snow Removal': 0.003637884045019746}",[]
"Sanitario is a company that specializes in the sale of sanitary wares, including sanitary pads, sanitary napkins, sanitizers, and dispensers. They offer a variety of sizes and colors, as well as discounts on their products. The company also provides information on how to care for sanitary ware and offers tips on how long to keep sanitary products in good condition. Additionally, they provide information on the Value Added Tax (VAT) which is a tax on the value of goods and services.","['Free Ownership Transfer', 'Sanitary Ware Manufacturer', 'Product Distribution', 'Transaction Support', 'Domain Name Transfer', 'Buyer Protection Program']",Manufacturing,Industrial Air Solutions,Plumbing Fixture Fitting and Trim Manufacturing,"['Food Safety Services', 'Water Treatment Services', 'Fire Safety Equipment Services', 'Waste Management Services', 'Textile Manufacturing Services', 'Building Cleaning Services', 'Coffee Processing Services', 'Veterinary Services', 'Pet Grooming Services', 'Health and Safety Consulting']","[0.43768835, 0.43030518, 0.40913305, 0.3965953, 0.39620572, 0.3958911, 0.385998, 0.3825057, 0.37898314, 0.37779194]","{'Food Safety Services': 0.0008603325695730746, 'Water Treatment Services': 0.0012542495969682932, 'Fire Safety Equipment Services': 0.0023198972921818495, 'Waste Management Services': 0.0010541045339778066, 'Textile Manufacturing Services': 0.0006389764603227377, 'Building Cleaning Services': 0.0016946070827543736, 'Coffee Processing Services': 0.0007690798956900835, 'Veterinary Services': 0.0005951315979473293, 'Pet Grooming Services': 0.0007591120665892959, 'Health and Safety Consulting': 0.0017700697062537074}",[]
"Prologistics Carriers is a company that specializes in refrigerated transportation of products, particularly those that are temperature-sensitive. They offer dry vans for loading and unloading products from the rear of trailers from loading docks, with some trailers even offering liftgates in cases where loading docks are unavailable. Their services ensure a successful import and export process with constant times and visibility at all times, on-site or customs classification, consolidation, and deconsolidation of merchandise.","['Consolidation and Deconsolidation of Merchandise', 'Temperature-controlled Supply Chain Partner', 'Import and Export Processes', 'Customs Classification', 'Refrigerated Transport Services', 'Dry Vans with Lift Gates', 'Logistics Carrier']",Services,Trucking and Logistics,"General Freight Trucking, Long-Distance, Less Than Truckload","['Food Processing Services', 'Travel Services', 'Medical Gas Installation Services', 'Gas Manufacturing Services', 'Insulation Services', 'Livestock Dealer Services', 'Grain Processing Services', 'Ice Production Services', 'Pharmaceutical Manufacturing', 'Agricultural Equipment Services']","[0.3972879, 0.39301047, 0.36636746, 0.35818642, 0.35689232, 0.35378587, 0.3507701, 0.35056296, 0.34764364, 0.34665823]","{'Food Processing Services': 0.029358312487602234, 'Travel Services': 0.00567888468503952, 'Medical Gas Installation Services': 0.022014234215021133, 'Gas Manufacturing Services': 0.028301341459155083, 'Insulation Services': 0.004336527548730373, 'Livestock Dealer Services': 0.0023944121785461903, 'Grain Processing Services': 0.03373715654015541, 'Ice Production Services': 0.07687406986951828, 'Pharmaceutical Manufacturing': 0.12776267528533936, 'Agricultural Equipment Services': 0.025327462702989578}",[]
"The company is a design firm that specializes in developing and implementing ideas. They offer design services focused on improving the quality of life in urban planning, architecture, landscape design, and interior design.","['Interior Design Services', 'Urban Design Services', 'Architectural Design and Implementation Services', 'Landscape Design Services']",Services,Architects & Architectural Services,Architectural Services,"['Interior Design Services', 'Branding Services', 'Graphic Design Services', 'Business Development Services', 'Commercial Renovation Services', 'Property Management Services', 'Environmental Consulting', 'Consulting Services', 'Commercial Construction Services', 'Technology Consulting']","[0.65007144, 0.551407, 0.5380037, 0.52278686, 0.5171417, 0.5086348, 0.49404287, 0.4939611, 0.49258968, 0.4755844]","{'Interior Design Services': 0.9799932837486267, 'Branding Services': 0.0038752213586121798, 'Graphic Design Services': 0.009536284022033215, 'Business Development Services': 0.03330996632575989, 'Commercial Renovation Services': 0.02409043349325657, 'Property Management Services': 0.0066216979175806046, 'Environmental Consulting': 0.0069969031028449535, 'Consulting Services': 0.02468574233353138, 'Commercial Construction Services': 0.0033108254428952932, 'Technology Consulting': 0.004614320117980242}",['Interior Design Services']
Fahrzeugbau-pfaff.de is a German company that specializes in vehicle construction services. They operate in accordance with the legal requirements of the Telemediengesetz 5 Telemediation Act.,"['Vehicle Construction Services', 'Construction Services', 'Motorhome Construction', 'Commercial Vehicles Manufacturer', 'Trailer Manufacturer', 'Boat Trailer Design and Construction', 'Transfer Trucks', 'Caravans Manufacturer', 'Carpentry Services', 'Commercial Vehicles for Construction', 'Mobile Construction Services', 'Media Mobile Vehicles Manufacturer', 'Special Vehicles Manufacturer']",Manufacturing,Auto Parts Manufacturers,Motor Vehicle Body Manufacturing,"['Field Welding Services', 'Commercial Construction Services', 'Road Maintenance Services', 'Mobile Home Construction Services', 'Tent Manufacturing Services', 'Sheet Metal Services', 'Pipeline Construction Services', 'Gas Manufacturing Services', 'Road and Highway Construction', 'Commercial Driveway Construction']","[0.4187925, 0.4017684, 0.40116578, 0.39624038, 0.39039266, 0.38930643, 0.38565898, 0.38404584, 0.37850124, 0.3726725]","{'Field Welding Services': 0.0027900319546461105, 'Commercial Construction Services': 0.789484977722168, 'Road Maintenance Services': 0.000815624138340354, 'Mobile Home Construction Services': 0.9068388938903809, 'Tent Manufacturing Services': 0.010646258480846882, 'Sheet Metal Services': 0.0009290156303904951, 'Pipeline Construction Services': 0.0025214620400220156, 'Gas Manufacturing Services': 0.0025831989478319883, 'Road and Highway Construction': 0.015210093930363655, 'Commercial Driveway Construction': 0.036089859902858734}","['Commercial Construction Services', 'Mobile Home Construction Services']"
"Rijkswaterstaat, formerly known as the Bureau voor den Waterstaat and formerly as the Directorate General for Public Works and Water Management, is a Directorate-General of the Ministry of Infrastructure and Water management of the Netherlands. Founded in 1798, the agency is responsible for the practical execution of public works and water management, including the construction and maintenance of waterways and roads, as well as flood protection and prevention. Rijksstaat has been involved in the construction of major railway projects such as the Betuweroute and the HSL-Zuid. Their mission is to provide dry feet, clean and sufficient water, and a quick and safe flow of traffic. The agency is divided into 10 regional, 6 specialist services, and 2 special services.","['Flood Protection Measures', 'Civil Engineering Projects', 'Waterway Maintenance', 'Transport Infrastructure Construction', 'National Water Control', 'Water Management Services', 'Public Works Execution', 'Road Maintenance', 'Infrastructure Development', 'Disaster Prevention Planning', 'Hydraulic Engineering Services', 'Water Quality Improvement', 'Environmental Waterways Construction', 'Traffic Flow Management']",Manufacturing,Water Supply & Water Treatment,Administration of Air and Water Resource and Solid Waste Management Programs,"['Water Treatment Services', 'Residential Drainage Systems', 'Road Maintenance Services', 'Residential Drain Cleaning', 'Residential Plumbing Services', 'Industrial Plumbing Services', 'Environmental Consulting', 'Septic System Services', 'Commercial Drain Cleaning', 'Street Cleaning Operations']","[0.48974898, 0.47559026, 0.44776732, 0.42027652, 0.41136968, 0.4103734, 0.4073726, 0.4069221, 0.40484774, 0.4036724]","{'Water Treatment Services': 0.6140915155410767, 'Residential Drainage Systems': 0.06489700078964233, 'Road Maintenance Services': 0.61917644739151, 'Residential Drain Cleaning': 0.049298327416181564, 'Residential Plumbing Services': 0.025641780346632004, 'Industrial Plumbing Services': 0.15546736121177673, 'Environmental Consulting': 0.028276903554797173, 'Septic System Services': 0.04177083820104599, 'Commercial Drain Cleaning': 0.05661169812083244, 'Street Cleaning Operations': 0.015757525339722633}","['Water Treatment Services', 'Road Maintenance Services']"
"Solar Heat Pumps is a high-tech enterprise that specializes in the production of solar-powered hot water heaters. The company is a joint venture between Shenzhen Guowang Holding Co., Ltd., Beijing First Light Group, and First Steel Holding Co. The core of the company is based on solar-photovoltaic heating technology, with a focus on product research and development, production, engineering design, marketing, and sales. The goal of the solar heat pumps is to promote the promotion and application of clean energy sources. The solar heat pump control system is a key feature of the modern solar heaters, and the company provides information on how to select the appropriate control system for each type of solar heat exchanger and how to install it properly. The heat exchangers are known for their high quality and durability, and can be used in various settings such as homes, offices, and hotels.","['Wall-mounted Series', 'Nickel Enhanced Series', 'Manufacturing', 'Kid Series', 'Research and Development', 'Clean Energy Solutions Provider', 'Design And Engineering', 'Renewable Energy Development', 'Marketing', 'Need For Speed Series', 'Environmentally Friendly', 'Solar Panel Wall Mounted Series', 'Split Series', 'Quick Release Series']",Wholesale,Renewable energy companies,Geothermal Electric Power Generation,"['Roofing Services with Heat Application', 'HVAC Installation and Service', 'Boiler Installation Services', 'Commercial Electrical Services', 'Swimming Pool Installation Services', 'Residential Electrical Services', 'Boiler Repair Services', 'Commercial Irrigation Systems', 'Insulation Services', 'Gas Manufacturing Services']","[0.42284667, 0.4002956, 0.35552424, 0.3429346, 0.3372685, 0.33282214, 0.28868383, 0.28525743, 0.28272963, 0.27123177]","{'Roofing Services with Heat Application': 0.025594087317585945, 'HVAC Installation and Service': 0.05440380796790123, 'Boiler Installation Services': 0.00512583227828145, 'Commercial Electrical Services': 0.027108769863843918, 'Swimming Pool Installation Services': 0.01649235375225544, 'Residential Electrical Services': 0.07203196734189987, 'Boiler Repair Services': 0.003445265581831336, 'Commercial Irrigation Systems': 0.0069326674565672874, 'Insulation Services': 0.0096982317045331, 'Gas Manufacturing Services': 0.008063926361501217}",[]
"W.A.Y.S. Helping Hands is a non-profit organization based in Sacramento, California that aims to empower, support, and assist the homeless community. The organization provides housing in a clean, safe, and drug-free environment, as well as food and services that are registered, certified, or licensed. W.A.,Y. S. Help is pursuing various projects to help the homeless and relies on the help of volunteers and supporters to achieve its goals. Donations to the organization can be made through PayPal or referrals.","['Homelessness Support Services', 'Food Information Services Provision', 'Safe and Substance-free Housing', 'Charitable Donations']",Services,Homelessness Shelter,Temporary Shelters,"['Volunteer Services', 'Occupational Health Services', 'Community Engagement Services', 'Crisis Management Services', 'Animal Day Care Services', 'Waste Management Services', 'Environmental Health Services', 'Fundraising Services', 'Training Services', 'Arts Services']","[0.58643657, 0.5180156, 0.4730711, 0.4661832, 0.44946343, 0.4367482, 0.43632615, 0.43351346, 0.42012784, 0.41943175]","{'Volunteer Services': 0.2960095703601837, 'Occupational Health Services': 0.012964951805770397, 'Community Engagement Services': 0.32204729318618774, 'Crisis Management Services': 0.04065382853150368, 'Animal Day Care Services': 0.009358080103993416, 'Waste Management Services': 0.004272453486919403, 'Environmental Health Services': 0.006266640033572912, 'Fundraising Services': 0.17980727553367615, 'Training Services': 0.04704786092042923, 'Arts Services': 0.01909920759499073}",['Community Engagement Services']
Wu An Fake Commercial Bills of Exchange is a company that specializes in providing fake commercial bills of exchange. They offer customized professional replications of these bills with no cash payment and without interest.,"['Tax Amendments', 'Customized Professional Replications']",Services,Money Transfer,Other Activities Related to Credit Intermediation,"['Financial Services', 'Commercial Electrical Services', 'Real Estate Services', 'Testing and Inspection Services', 'Livestock Dealer Services', 'E-Commerce Services', 'Commercial Plumbing Services', 'Commercial Construction Services', 'Corporate Responsibility Services', 'Marketing Services']","[0.3130244, 0.26376772, 0.25988483, 0.25541896, 0.2548326, 0.25347278, 0.25053602, 0.24773014, 0.2472774, 0.24603719]","{'Financial Services': 0.27428945899009705, 'Commercial Electrical Services': 0.0062940181232988834, 'Real Estate Services': 0.005572414956986904, 'Testing and Inspection Services': 0.007452602498233318, 'Livestock Dealer Services': 0.0033880535047501326, 'E-Commerce Services': 0.013431992381811142, 'Commercial Plumbing Services': 0.0009696712950244546, 'Commercial Construction Services': 0.0064862919971346855, 'Corporate Responsibility Services': 0.009967034682631493, 'Marketing Services': 0.007893738336861134}",[]
"Akyom is a company that specializes in traditional and contemporary house construction in the Tarn region of France. They have been established for many years and offer services such as searching for land, creating plans, assembling administrative files, financing studies, filing permits, monitoring site work, and ensuring compliance with quality charter. Akyom guarantees sustainable homes and long-term energy savings to preserve their clients' purchasing power. They are committed to meeting their clients’ expectations in terms of budgetary imperative and ensuring the construction of a place for living and wellbeing that is like their own.","['Sustainable Homes', 'Construction Services', 'Contemporary Homes', 'Quality Charter Compliance Services', 'Land Search', 'Work Site Monitoring', 'Financing Analysis', 'Permit Filing Assistance', 'Plan Creation', 'Long-term Energy Savings', 'Administrative File Assembly']",Services,Real Estate Developers,New Housing For-Sale Builders,"['Single Family Residential Construction', 'Commercial Construction Services', 'Property Management Services', 'Commercial Renovation Services', 'Multi-Family Construction Services', 'Mobile Home Construction Services', 'Environmental Consulting', 'Real Estate Services', 'Interior Design Services', 'Masonry Construction Services']","[0.4954433, 0.4570012, 0.45603627, 0.44106337, 0.43235302, 0.42973703, 0.4163386, 0.40841496, 0.4012416, 0.39943278]","{'Single Family Residential Construction': 0.09900955110788345, 'Commercial Construction Services': 0.06810496747493744, 'Property Management Services': 0.041003234684467316, 'Commercial Renovation Services': 0.0071947271935641766, 'Multi-Family Construction Services': 0.18964993953704834, 'Mobile Home Construction Services': 0.01155133731663227, 'Environmental Consulting': 0.007390973623842001, 'Real Estate Services': 0.4788845181465149, 'Interior Design Services': 0.004407012835144997, 'Masonry Construction Services': 0.09254857152700424}",['Real Estate Services']
Stroxx is a series of professional hand tools developed by skilled professionals with a focus on quality and precision. These instruments are designed to be used by individuals who take pride in their profession every day.,"['Hand Tools Manufacturer', 'Handles', 'Manufacturing', 'Retail']",Manufacturing,Hardware Stores,Saw Blade and Handtool Manufacturing,"['Fire Safety Equipment Services', 'Accessory Manufacturing', 'Carpentry Services', 'Trim Manufacturing', 'Agricultural Equipment Services', 'Directional Drilling Services', 'Rubber Manufacturing', 'Industrial Machinery Installation', 'Technology Consulting', 'Testing and Inspection Services']","[0.31385896, 0.30650556, 0.28738734, 0.26990563, 0.26373196, 0.25872546, 0.25431848, 0.24322167, 0.23938756, 0.23634697]","{'Fire Safety Equipment Services': 0.003984368871897459, 'Accessory Manufacturing': 0.00814308226108551, 'Carpentry Services': 0.004096538294106722, 'Trim Manufacturing': 0.02198990061879158, 'Agricultural Equipment Services': 0.003807238768786192, 'Directional Drilling Services': 0.005753014236688614, 'Rubber Manufacturing': 0.0024894680827856064, 'Industrial Machinery Installation': 0.09333499521017075, 'Technology Consulting': 0.001778371981345117, 'Testing and Inspection Services': 0.003441659500822425}",[]
"RIKA 78 is a French company that specializes in the production and sale of wood stoves and pellet stoves. They offer a wide range of wood and pellets, including mixed stoves, as well as Rika stoves for both wood and pellets. The company also provides the Rikatronic4, an electronic control system for fireplace stoves with programmable ignition that supports users in all heating steps, from temperature rise to recharge. Rika 78's pellet conveying and optimized smoke extraction reduce operating noise to a minimum, while the continuous worm motorization eliminates small repetitive sounds characteristic of pellet-stoves. The distribution of hot air is carried out through radiation and natural convection, eliminating the need for a convection fan. The Rika78 showroom is located in Coignières and offers a wide selection of wood-burning stoves at prices available from their factory stores.","['Retail', 'In-store Shopping', 'Installation and Maintenance Services', 'Wood Pellets for Pellet Stoves', 'Mix Stove Installation Services', 'Mixed Stoves', 'Wood Stove Shop', 'Heating Equipment Supplier', 'After-sales Service', 'Unisex Toilets', 'Onsite Services', 'Wheelchair Accessible Entrance']",Manufacturing,Industrial Air Solutions,Heating Equipment (except Warm Air Furnaces) Manufacturing,"['Fire Safety Equipment Services', 'Wood Product Manufacturing', 'Gas Manufacturing Services', 'Fire Protection System Services', 'HVAC Inspections', 'Insulation Services', 'Medical Gas Installation Services', 'Boiler Installation Services', 'Furniture Manufacturing', 'Cabinetry Manufacturing']","[0.4298772, 0.4034769, 0.39223117, 0.35950452, 0.35063666, 0.3457777, 0.33576977, 0.3324238, 0.33133638, 0.32909223]","{'Fire Safety Equipment Services': 0.015089506283402443, 'Wood Product Manufacturing': 0.041920680552721024, 'Gas Manufacturing Services': 0.016074107959866524, 'Fire Protection System Services': 0.012064848095178604, 'HVAC Inspections': 0.07978387176990509, 'Insulation Services': 0.00823374092578888, 'Medical Gas Installation Services': 0.012199568562209606, 'Boiler Installation Services': 0.06642495840787888, 'Furniture Manufacturing': 0.0019841748289763927, 'Cabinetry Manufacturing': 0.0024645356461405754}",[]
"Hawk International is a Pakistani company that specializes in the processing of PET bottle flakes using modern plants and machinery. They are a member of the Chamber of Commerce and Industry in Karachi and are registered with the Federal Board of Revenue, Government of Pakistan. The company has expanded its business to include the mining of chromite ore and the supply of Manganese Ore, Copper Ore, Iron Ore, and Low Silica Limestone. They have also introduced Mill Scale, a waste iron slag of re-rolling steel mills, to their Chinese buyers and have exported their products to leading steel mills in China. Hawk International is focused on increasing their production capacity to meet the increasing demand for their products in China, India, and other Far East countries.","['Energy Solutions Provider', 'Environmental Services', 'Mineral Recycling Services', 'Recycled Metals Recycling Services']",Manufacturing,"Minerals, Earths & Ores",Iron Ore Mining,"['Grain Processing Services', 'Pet Food Manufacturing', 'Meat Processing Services', 'Animal Feed Manufacturing', 'Coffee Processing Services', 'Chemical Manufacturing', 'Waste Management Services', 'Recycling Services', 'Food Processing Services', 'Sand and Gravel Mining']","[0.51838833, 0.4755615, 0.44791025, 0.44452322, 0.43605417, 0.4248297, 0.4182366, 0.41419837, 0.4091341, 0.40394717]","{'Grain Processing Services': 0.0009422482689842582, 'Pet Food Manufacturing': 0.49077609181404114, 'Meat Processing Services': 0.0005117618129588664, 'Animal Feed Manufacturing': 0.0045618535950779915, 'Coffee Processing Services': 0.0006875802064314485, 'Chemical Manufacturing': 0.0071439133025705814, 'Waste Management Services': 0.016512174159288406, 'Recycling Services': 0.8053300976753235, 'Food Processing Services': 0.0007149268058128655, 'Sand and Gravel Mining': 0.001061955583281815}","['Pet Food Manufacturing', 'Recycling Services']"
"The company provides a platform that allows users to choose whether or not to use cookies or related technologies such as web beacons, pixel tags, and Flash objects on their website. Users can change their preferences and revisit them at any time by accessing the ""Cookie Preferences"" link in the footer of the site. The company and its partners may process personal data such as IP addresses, unique IDs, and browsing data for store and/or access information on a device, as well as personalized advertising. Some partners may not require users to consent to processing their data, while others rely on their legitimate business interests.","['Personalized Advertising Services', 'Data Processing Services', 'Cookie Preferences Customization', 'Internet Services']",Services,Digital & Marketing Agencies,Marketing Consulting Services,"['Online Marketing Services', 'Digital Marketing Services', 'Advertising Services', 'Marketing Services', 'Market Research Services', 'E-Commerce Services', 'Social Media Services', 'Branding Services', 'Compliance Services', 'SEO Services']","[0.52199525, 0.5130304, 0.49763918, 0.47623074, 0.47147948, 0.45029062, 0.4292103, 0.4149351, 0.3958594, 0.39069036]","{'Online Marketing Services': 0.7137421369552612, 'Digital Marketing Services': 0.8049964308738708, 'Advertising Services': 0.6356220245361328, 'Marketing Services': 0.6934270262718201, 'Market Research Services': 0.02236909791827202, 'E-Commerce Services': 0.027149224653840065, 'Social Media Services': 0.031854577362537384, 'Branding Services': 0.10599641501903534, 'Compliance Services': 0.013725637458264828, 'SEO Services': 0.06532670557498932}","['Online Marketing Services', 'Digital Marketing Services', 'Advertising Services', 'Marketing Services']"
"FinTech PRO is a team of experienced Chartered & Certified Accountants and Advisors that provides accounting, tax, and technology services to optimize businesses and personal finances. Their goal is to help clients grow their companies and personal net worth by providing them with custom accounting tools, tax planning, and systems to achieve financial success. They offer cloud-based solutions, client accounting services, startup advisory, tax compliance, and contractor solutions. The company is led by Jay Patel, a qualified Chartered Accountant with over 9 years of experience in the field of Accounting & Finance, Business Process Reviews, Internal Audit, and Forensic audits across sectors like Manufacturing, Event Management, Real Estate, Transmission & power.","['Management Consulting Services', 'Cloud-based Accounting Services', 'Back Office Accounting', 'Accounting & Tax Compliance', 'Start-up Advisory Services', 'Monthly Bookkeeping', 'Contractor Solutions', 'Accounting Services', 'Payment', 'Real-time Accounting Services', 'Voluntary Accounting Services', 'Taxes Consulting', 'Application Advising Services']",Services,Accounting & Bookkeeping Services,Other Accounting Services,"['Financial Services', 'Consulting Services', 'Technology Consulting', 'Management Consulting', 'Compliance Services', 'Market Research Services', 'Business Development Services', 'Health and Safety Consulting', 'Corporate Responsibility Services', 'Corporate Training Services']","[0.6072811, 0.49135628, 0.48410246, 0.4726333, 0.45142722, 0.4111129, 0.4078912, 0.40353173, 0.39777988, 0.39528626]","{'Financial Services': 0.5990285873413086, 'Consulting Services': 0.5838379263877869, 'Technology Consulting': 0.20104160904884338, 'Management Consulting': 0.9594773650169373, 'Compliance Services': 0.06044137477874756, 'Market Research Services': 0.009346403181552887, 'Business Development Services': 0.026127638295292854, 'Health and Safety Consulting': 0.014660987071692944, 'Corporate Responsibility Services': 0.04684503749012947, 'Corporate Training Services': 0.009657725691795349}","['Financial Services', 'Consulting Services', 'Management Consulting']"
